ticket_id,account_id_hashed,timestamp,text,category,keyword_hits,n_hits,amount_reference,likely_fraud_related
TCK000018,H23261,2026-06-22 04:44:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover,"['did not make', 'without permission', 'access']",3,False,1
TCK000019,H95100,2026-07-29 23:26:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000020,H41143,2026-07-22 21:15:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000021,H78484,2026-06-05 20:44:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000022,H30129,2026-06-16 09:58:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000023,H81215,2026-06-29 02:56:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000024,H72320,2026-06-14 05:26:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000025,H39930,2026-06-15 14:42:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000026,H69880,2026-07-30 18:06:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000027,H47627,2026-07-22 11:09:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000028,H92877,2026-07-21 22:50:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000029,H05892,2026-06-24 10:37:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000030,H97609,2026-06-02 12:47:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000031,H98508,2026-07-25 06:29:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000032,H13092,2026-07-22 16:39:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000033,H86861,2026-06-08 21:00:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000034,H90347,2026-06-14 16:20:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000035,H67102,2026-07-08 14:29:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000036,H90436,2026-06-30 15:56:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000037,H24502,2026-06-27 12:56:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000038,H83903,2026-07-10 17:49:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000039,H78738,2026-07-26 10:11:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000040,H63264,2026-06-10 07:32:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000041,H39930,2026-07-16 20:44:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000042,H71870,2026-06-29 16:03:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000043,H36773,2026-07-29 01:06:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000044,H67102,2026-07-06 03:30:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000045,H33167,2026-06-04 04:35:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000046,H94636,2026-07-24 02:57:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000047,H52846,2026-06-11 23:45:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000048,H20218,2026-06-19 12:46:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000049,H19550,2026-07-29 16:27:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000050,H37541,2026-07-19 09:09:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000051,H72765,2026-06-02 09:13:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000052,H46130,2026-06-23 01:01:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000053,H95596,2026-06-01 02:42:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000054,H13372,2026-06-07 18:00:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover,"['did not make', 'without permission', 'access']",3,False,1
TCK000055,H44866,2026-07-25 08:28:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000056,H12349,2026-07-20 20:07:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000057,H45368,2026-07-18 14:57:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000058,H90912,2026-06-27 07:01:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000059,H68172,2026-07-02 14:54:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000060,H77878,2026-07-10 18:52:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000061,H28210,2026-07-29 17:07:00,Someone changed my PIN and I can no longer log in to my account.,account_takeover,"['pin', 'changed my']",2,False,1
TCK000062,H31171,2026-07-19 13:57:00,Someone changed my PIN and I can no longer log in to my account.,account_takeover,"['pin', 'changed my']",2,False,1
TCK000063,H02396,2026-07-23 04:07:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000064,H65259,2026-06-29 16:56:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000065,H07851,2026-06-27 07:32:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000066,H09223,2026-07-26 11:15:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000067,H52541,2026-07-04 05:00:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000068,H56199,2026-07-16 04:09:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000069,H80592,2026-06-25 13:36:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000070,H34795,2026-07-06 20:41:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000071,H74281,2026-07-20 08:23:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000072,H99371,2026-07-11 19:30:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000073,H93775,2026-06-18 13:25:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000074,H58041,2026-06-13 15:03:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000075,H88965,2026-06-07 06:34:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000076,H98262,2026-07-07 20:15:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000077,H96565,2026-06-06 09:55:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000078,H37661,2026-06-05 20:24:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000079,H36219,2026-07-24 03:11:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000080,H67224,2026-06-21 09:39:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000081,H99251,2026-07-01 22:25:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000082,H72326,2026-07-13 07:28:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000083,H24921,2026-07-17 14:51:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000084,H93551,2026-06-08 10:46:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000085,H88786,2026-07-18 00:58:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000086,H12819,2026-07-07 11:23:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000087,H40109,2026-06-09 09:40:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000088,H89794,2026-06-22 04:22:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000089,H88488,2026-07-16 19:55:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000090,H25246,2026-07-20 02:32:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000091,H62961,2026-06-10 15:36:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000092,H52002,2026-07-10 13:06:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000093,H65378,2026-06-03 00:25:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000094,H71870,2026-07-30 21:06:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000095,H48251,2026-06-14 13:09:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000096,H33345,2026-06-06 22:55:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000097,H30438,2026-06-06 09:32:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover,"['did not make', 'without permission', 'access']",3,False,1
TCK000098,H02396,2026-06-18 08:05:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000099,H88705,2026-07-26 22:37:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000100,H19784,2026-06-14 23:59:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000101,H31237,2026-06-17 15:13:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000102,H76578,2026-07-05 10:38:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000103,H08510,2026-07-21 19:29:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000104,H31237,2026-06-13 20:19:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000105,H87815,2026-07-24 03:38:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000106,H49387,2026-06-30 23:58:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000107,H19784,2026-07-24 19:36:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000108,H63897,2026-07-12 03:12:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000109,H37541,2026-07-27 06:01:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000110,H90436,2026-07-20 22:15:00,My SIM card stopped working and now money is missing from my wallet.,account_takeover,"['sim card', 'missing']",2,True,1
TCK000111,H46693,2026-07-22 02:15:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover,"['did not make', 'without permission', 'access']",3,False,1
TCK000112,H43707,2026-07-21 13:28:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000113,H71398,2026-06-15 12:48:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000114,H17436,2026-07-19 04:07:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000115,H25246,2026-06-28 22:47:00,I received an OTP I never requested and then my balance dropped.,account_takeover,['otp'],1,True,1
TCK000116,H00365,2026-06-12 22:25:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000117,H19965,2026-07-30 11:06:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000118,H31725,2026-06-04 15:47:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000119,H12895,2026-06-11 04:21:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover,"['did not make', 'without permission', 'access']",3,False,1
TCK000120,H42953,2026-06-13 05:30:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000121,H50107,2026-07-25 11:37:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000122,H20059,2026-07-12 08:43:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000123,H20218,2026-07-03 08:24:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000124,H49001,2026-07-11 02:50:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000125,H88965,2026-07-12 17:36:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000126,H60645,2026-06-08 10:53:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000127,H08746,2026-06-30 21:08:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000128,H76818,2026-06-27 05:00:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000129,H10500,2026-06-25 12:09:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000130,H14679,2026-06-09 22:34:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000131,H99533,2026-06-02 01:50:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000132,H92031,2026-06-26 08:16:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000133,H47796,2026-07-30 05:41:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000134,H20108,2026-06-20 00:51:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000135,H10041,2026-07-11 21:43:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000136,H01081,2026-07-22 07:56:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000137,H69745,2026-07-20 18:50:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000138,H55472,2026-06-06 05:39:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000139,H33613,2026-06-30 13:36:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000140,H08882,2026-07-06 11:38:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000141,H79067,2026-06-19 04:17:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000142,H31473,2026-07-15 05:23:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000143,H92031,2026-06-21 18:31:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000144,H05081,2026-07-02 23:50:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover,"['did not make', 'without permission', 'access']",3,False,1
TCK000145,H31906,2026-06-11 03:14:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000146,H36219,2026-07-11 10:39:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000147,H12554,2026-07-27 23:04:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000148,H86861,2026-07-16 15:03:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000149,H21668,2026-07-02 00:12:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000150,H74207,2026-06-23 10:30:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000151,H03576,2026-06-11 20:11:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000152,H39930,2026-06-14 07:52:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000153,H05539,2026-06-11 17:11:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000154,H01233,2026-07-06 05:14:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000155,H45697,2026-06-15 12:08:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000156,H87071,2026-07-06 23:05:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000157,H95091,2026-06-09 08:31:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000158,H69596,2026-06-06 07:07:00,Someone changed my PIN and I can no longer log in to my account.,account_takeover,"['pin', 'changed my']",2,False,1
TCK000159,H74687,2026-06-23 05:57:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000160,H04970,2026-06-02 18:59:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000161,H66071,2026-06-22 08:29:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000162,H46954,2026-07-03 00:38:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000163,H65378,2026-06-30 13:12:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000164,H76427,2026-06-02 19:01:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000165,H23820,2026-07-06 01:47:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000166,H14723,2026-06-07 08:04:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000167,H98262,2026-06-28 01:06:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000168,H12650,2026-07-28 00:35:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000169,H06827,2026-07-14 05:52:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000170,H28506,2026-07-18 20:57:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000171,H72765,2026-07-18 12:07:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000172,H67018,2026-07-28 00:33:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000173,H85783,2026-06-07 21:25:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000174,H44541,2026-06-01 04:18:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000175,H97446,2026-07-13 04:04:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000176,H71095,2026-06-12 18:50:00,My SIM card stopped working and now money is missing from my wallet.,account_takeover,"['sim card', 'missing']",2,True,1
TCK000177,H34996,2026-07-07 21:48:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000178,H19944,2026-07-16 09:34:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000179,H17776,2026-06-26 12:05:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000180,H63466,2026-07-30 06:57:00,My SIM card stopped working and now money is missing from my wallet.,account_takeover,"['sim card', 'missing']",2,True,1
TCK000181,H98899,2026-07-14 03:49:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000182,H37980,2026-07-04 10:22:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000183,H19381,2026-06-04 03:53:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000184,H70345,2026-07-30 08:40:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000185,H39801,2026-07-11 11:20:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000186,H65568,2026-06-08 10:58:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000187,H71509,2026-06-18 16:02:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover,"['did not make', 'without permission', 'access']",3,False,1
TCK000188,H88488,2026-06-15 16:32:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000189,H85259,2026-07-25 00:07:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000190,H90337,2026-07-03 20:55:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000191,H76743,2026-07-17 14:23:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000192,H27325,2026-07-20 18:11:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000193,H48908,2026-06-24 15:43:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000194,H51868,2026-07-23 04:55:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000195,H40289,2026-06-29 06:43:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000196,H37740,2026-07-19 16:52:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000197,H70770,2026-07-02 09:57:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000198,H40755,2026-07-26 00:34:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000199,H21922,2026-06-01 13:50:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000200,H27107,2026-07-12 10:25:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000201,H61188,2026-07-20 02:24:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000202,H47361,2026-06-02 04:02:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000203,H72320,2026-06-16 22:16:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000204,H91175,2026-07-20 01:22:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000205,H96829,2026-06-10 21:42:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000206,H25343,2026-07-09 09:12:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000207,H74830,2026-07-24 22:09:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000208,H61188,2026-07-24 10:28:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000209,H62816,2026-06-05 00:01:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000210,H02396,2026-07-21 20:29:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000211,H69745,2026-07-11 12:02:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000212,H86533,2026-06-02 06:07:00,I received an OTP I never requested and then my balance dropped.,account_takeover,['otp'],1,True,1
TCK000213,H48899,2026-07-15 21:01:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000214,H66071,2026-06-19 23:50:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000215,H51019,2026-06-16 20:16:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover,"['did not make', 'without permission', 'access']",3,False,1
TCK000216,H84293,2026-06-01 05:40:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000217,H54355,2026-07-07 21:23:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000218,H84338,2026-07-23 06:31:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000219,H87916,2026-06-27 17:30:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000220,H83762,2026-06-04 04:57:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000221,H05481,2026-07-16 18:22:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute,[],0,False,0
TCK000222,H81671,2026-07-13 00:31:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000223,H17602,2026-06-28 13:52:00,My SIM card stopped working and now money is missing from my wallet.,account_takeover,"['sim card', 'missing']",2,True,1
TCK000224,H24169,2026-06-05 19:59:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000225,H40755,2026-07-14 20:57:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000226,H13289,2026-07-02 12:38:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000227,H44412,2026-06-08 13:56:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000228,H13289,2026-06-03 16:49:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000229,H58774,2026-06-22 22:45:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000230,H32260,2026-06-25 04:01:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000231,H67531,2026-06-18 14:42:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000232,H37468,2026-07-03 19:10:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000233,H93241,2026-07-20 14:33:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000234,H02289,2026-06-21 23:19:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000235,H44713,2026-06-24 21:55:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000236,H91175,2026-06-03 06:51:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
