ticket_id,timestamp,account_id,text,priority,scenario_label,category
TICKET_000242,2026-09-14 19:11:55,NDM_000158,I received an OTP that I did not request.,Low,LEGITIMATE,
TICKET_001023,2026-09-20 08:30:29,NDM_000161,I cannot access my account and my password no longer works.,Low,LEGITIMATE,
TICKET_000785,2026-09-04 12:58:04,NDM_000162,My phone was lost and I need to secure my account.,Low,LEGITIMATE,
TICKET_000793,2026-09-14 05:50:08,NDM_000162,My account is locked after several login attempts.,Low,LEGITIMATE,
ATO_TICKET_NDM_000163,2026-09-30 07:49:17,NDM_000163,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
TICKET_001614,2026-09-08 03:47:04,NDM_000170,I received an OTP that I did not request.,Low,LEGITIMATE,
TICKET_000131,2026-09-19 17:23:45,NDM_000174,There is no problem with my account; I need assistance with a payment.,Low,LEGITIMATE,
TICKET_001032,2026-09-25 04:49:45,NDM_000175,I changed my phone and need help accessing my account.,High,LEGITIMATE,
TICKET_001831,2026-09-04 14:13:14,NDM_000176,There was a transaction on my account that I did not make.,Low,LEGITIMATE,
TICKET_001011,2026-09-11 16:58:28,NDM_000176,I noticed a transfer that I do not recognise.,Low,LEGITIMATE,
TICKET_001526,2026-09-04 08:13:11,NDM_000177,There is no problem with my account; I need assistance with a payment.,Low,LEGITIMATE,
ATO_TICKET_NDM_000177,2026-09-29 11:20:00,NDM_000177,My SIM card was replaced and I cannot log in.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000178,2026-09-24 17:48:29,NDM_000178,I noticed a transfer that I do not recognise.,High,ATO,Unauthorised Transaction
TICKET_001776,2026-09-25 16:57:58,NDM_000178,I made this transaction myself but it is showing as pending.,Low,LEGITIMATE,
ATO_TICKET_NDM_000181,2026-09-29 18:22:14,NDM_000181,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
TICKET_001739,2026-09-19 17:00:12,NDM_000182,There is no problem with my account; I need assistance with a payment.,Low,LEGITIMATE,
TICKET_000940,2026-09-23 19:27:09,NDM_000183,There is no problem with my account; I need assistance with a payment.,Low,LEGITIMATE,
TICKET_001185,2026-09-24 06:42:19,NDM_000185,I changed my phone and need help accessing my account.,High,LEGITIMATE,
ATO_TICKET_NDM_000185,2026-09-26 01:31:55,NDM_000185,I noticed a transfer that I do not recognise.,Medium,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000187,2026-09-26 23:05:02,NDM_000187,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000188,2026-09-26 04:14:25,NDM_000188,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
TICKET_001458,2026-09-18 23:03:20,NDM_000193,I received an OTP that I did not request.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000193,2026-09-28 11:07:21,NDM_000193,My SIM card was replaced and I cannot log in.,Medium,ATO,Unauthorised Transaction
TICKET_000314,2026-09-30 11:33:03,NDM_000198,There is no problem with my account; I need assistance with a payment.,Medium,LEGITIMATE,
TICKET_000774,2026-09-04 15:13:39,NDM_000200,There is no problem with my account; I need assistance with a payment.,Low,LEGITIMATE,
TICKET_000730,2026-09-13 00:31:38,NDM_000202,I noticed a transfer that I do not recognise.,Medium,LEGITIMATE,
TICKET_000338,2026-09-30 08:24:22,NDM_000203,My account is locked after several login attempts.,Low,LEGITIMATE,
TICKET_000152,2026-09-04 06:59:37,NDM_000206,I am travelling and cannot access my normal device.,Low,LEGITIMATE,
TICKET_000779,2026-09-08 17:08:13,NDM_000206,There is no problem with my account; I need assistance with a payment.,Low,LEGITIMATE,
ATO_TICKET_NDM_000206,2026-09-30 02:48:24,NDM_000206,I received an OTP that I did not request.,High,ATO,Unauthorised Transaction
TICKET_001765,2026-09-29 21:50:50,NDM_000211,I noticed a transfer that I do not recognise.,Medium,LEGITIMATE,
TICKET_001893,2026-09-01 05:21:15,NDM_000213,I am travelling and cannot access my normal device.,Low,LEGITIMATE,
ATO_TICKET_NDM_000213,2026-09-30 16:57:19,NDM_000213,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
TICKET_000013,2026-09-07 16:50:38,NDM_000214,I am travelling and cannot access my normal device.,Low,LEGITIMATE,
ATO_TICKET_NDM_000214,2026-09-19 02:06:40,NDM_000214,My SIM card was replaced and I cannot log in.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000216,2026-09-19 17:12:52,NDM_000216,My SIM card was replaced and I cannot log in.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000220,2026-09-26 08:13:14,NDM_000220,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
TICKET_001946,2026-09-20 23:46:56,NDM_000221,I changed my phone and need help accessing my account.,Low,LEGITIMATE,
ATO_TICKET_NDM_000223,2026-09-27 14:39:52,NDM_000223,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
TICKET_001374,2026-09-26 05:22:48,NDM_000224,My account is locked after several login attempts.,Low,LEGITIMATE,
TICKET_001728,2026-09-10 04:44:55,NDM_000230,I noticed a transfer that I do not recognise.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000230,2026-09-28 20:28:46,NDM_000230,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
TICKET_001878,2026-09-08 13:39:30,NDM_000233,Please help me update my registered mobile number.,High,LEGITIMATE,
TICKET_001706,2026-09-13 22:48:47,NDM_000234,I changed my phone and need help accessing my account.,Medium,LEGITIMATE,
TICKET_001899,2026-09-10 06:08:00,NDM_000237,I made this transaction myself but it is showing as pending.,Low,LEGITIMATE,
TICKET_001030,2026-09-06 18:34:07,NDM_000239,There was a transaction on my account that I did not make.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000239,2026-09-29 10:32:46,NDM_000239,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
TICKET_001897,2026-09-18 15:30:17,NDM_000240,There was a transaction on my account that I did not make.,Low,LEGITIMATE,
TICKET_001824,2026-09-05 14:49:02,NDM_000241,I cannot access my account and my password no longer works.,Low,LEGITIMATE,
TICKET_000426,2026-09-02 18:25:34,NDM_000242,There is no problem with my account; I need assistance with a payment.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000245,2026-09-25 12:49:34,NDM_000245,I noticed a transfer that I do not recognise.,Medium,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000253,2026-09-16 18:40:54,NDM_000253,My SIM card was replaced and I cannot log in.,High,ATO,Unauthorised Transaction
TICKET_000424,2026-09-29 18:38:18,NDM_000255,I changed my phone and need help accessing my account.,Low,LEGITIMATE,
ATO_TICKET_NDM_000259,2026-09-24 23:20:14,NDM_000259,I noticed a transfer that I do not recognise.,High,ATO,Unauthorised Transaction
TICKET_001375,2026-09-16 02:08:42,NDM_000260,I made this transaction myself but it is showing as pending.,Medium,LEGITIMATE,
TICKET_001456,2026-09-25 10:45:02,NDM_000263,My account is locked after several login attempts.,Low,LEGITIMATE,
TICKET_001775,2026-09-20 00:31:41,NDM_000266,My phone was lost and I need to secure my account.,High,LEGITIMATE,
TICKET_001722,2026-09-09 16:08:42,NDM_000272,There was a transaction on my account that I did not make.,Low,LEGITIMATE,
TICKET_001091,2026-09-14 19:07:17,NDM_000272,I changed my phone and need help accessing my account.,Low,LEGITIMATE,
TICKET_000098,2026-09-25 21:35:10,NDM_000272,I am travelling and cannot access my normal device.,High,LEGITIMATE,
ATO_TICKET_NDM_000272,2026-09-29 09:28:36,NDM_000272,I noticed a transfer that I do not recognise.,Medium,ATO,Unauthorised Transaction
TICKET_001026,2026-09-05 14:30:59,NDM_000273,My SIM card was replaced and I cannot log in.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000274,2026-09-28 14:15:20,NDM_000274,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000275,2026-09-22 03:48:54,NDM_000275,My SIM card was replaced and I cannot log in.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000279,2026-09-23 01:59:21,NDM_000279,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000281,2026-09-22 19:10:00,NDM_000281,My SIM card was replaced and I cannot log in.,Medium,ATO,Unauthorised Transaction
TICKET_000474,2026-09-05 01:21:09,NDM_000286,There was a transaction on my account that I did not make.,Low,LEGITIMATE,
ATO_TICKET_NDM_000287,2026-09-30 05:58:13,NDM_000287,My SIM card was replaced and I cannot log in.,Medium,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000290,2026-09-29 10:08:09,NDM_000290,I noticed a transfer that I do not recognise.,Medium,ATO,Unauthorised Transaction
TICKET_001520,2026-09-05 16:51:27,NDM_000294,My SIM card was replaced and I cannot log in.,Medium,LEGITIMATE,
TICKET_001636,2026-09-14 10:43:58,NDM_000300,I am travelling and cannot access my normal device.,Low,LEGITIMATE,
TICKET_001042,2026-09-22 05:39:09,NDM_000300,There is no problem with my account; I need assistance with a payment.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000301,2026-09-26 02:09:39,NDM_000301,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000303,2026-09-28 18:04:35,NDM_000303,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
TICKET_001147,2026-09-03 07:41:12,NDM_000304,My SIM card was replaced and I cannot log in.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000306,2026-09-29 02:25:07,NDM_000306,I noticed a transfer that I do not recognise.,High,ATO,Unauthorised Transaction
TICKET_001128,2026-09-11 14:22:26,NDM_000307,There was a transaction on my account that I did not make.,Medium,LEGITIMATE,
TICKET_000588,2026-09-24 16:17:40,NDM_000307,My phone was lost and I need to secure my account.,Low,LEGITIMATE,
TICKET_000846,2026-09-10 11:22:21,NDM_000308,I received an OTP that I did not request.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000309,2026-09-22 06:00:51,NDM_000309,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000310,2026-09-24 10:47:45,NDM_000310,My SIM card was replaced and I cannot log in.,High,ATO,Unauthorised Transaction
TICKET_000632,2026-09-22 04:20:02,NDM_000311,I cannot access my account and my password no longer works.,Low,LEGITIMATE,
TICKET_000633,2026-09-19 05:42:48,NDM_000315,My SIM card was replaced and I cannot log in.,High,LEGITIMATE,
TICKET_001422,2026-09-29 17:58:56,NDM_000317,I changed my phone and need help accessing my account.,Low,LEGITIMATE,
TICKET_001981,2026-09-28 11:07:06,NDM_000322,I received an OTP that I did not request.,Low,LEGITIMATE,
TICKET_001388,2026-09-24 06:04:51,NDM_000326,My SIM card was replaced and I cannot log in.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000327,2026-09-27 17:59:02,NDM_000327,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
TICKET_001784,2026-09-07 14:02:26,NDM_000329,My SIM card was replaced and I cannot log in.,Low,LEGITIMATE,
TICKET_000457,2026-09-27 22:08:24,NDM_000329,My SIM card was replaced and I cannot log in.,Low,LEGITIMATE,
TICKET_000306,2026-09-03 14:02:40,NDM_000332,I noticed a transfer that I do not recognise.,Medium,LEGITIMATE,
TICKET_000470,2026-09-12 07:47:15,NDM_000332,My account is locked after several login attempts.,High,LEGITIMATE,
TICKET_000052,2026-09-28 04:56:54,NDM_000332,I received an OTP that I did not request.,Low,LEGITIMATE,
TICKET_000680,2026-09-29 18:04:43,NDM_000333,Please help me update my registered mobile number.,Low,LEGITIMATE,
ATO_TICKET_NDM_000336,2026-09-16 13:54:09,NDM_000336,My SIM card was replaced and I cannot log in.,Medium,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000338,2026-09-19 06:53:52,NDM_000338,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
TICKET_000877,2026-09-01 19:53:18,NDM_000339,I am travelling and cannot access my normal device.,Medium,LEGITIMATE,
TICKET_000042,2026-09-13 00:44:25,NDM_000340,My SIM card was replaced and I cannot log in.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000343,2026-09-28 16:05:38,NDM_000343,I received an OTP that I did not request.,High,ATO,Unauthorised Transaction
TICKET_000110,2026-09-06 14:52:30,NDM_000346,Please help me update my registered mobile number.,Low,LEGITIMATE,
TICKET_001071,2026-09-06 00:57:49,NDM_000348,I noticed a transfer that I do not recognise.,Low,LEGITIMATE,
TICKET_001337,2026-09-19 11:07:33,NDM_000348,There is no problem with my account; I need assistance with a payment.,Low,LEGITIMATE,
ATO_TICKET_NDM_000349,2026-09-27 22:10:55,NDM_000349,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
TICKET_001313,2026-09-04 02:16:12,NDM_000350,I made this transaction myself but it is showing as pending.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000350,2026-09-24 23:13:34,NDM_000350,I received an OTP that I did not request.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000351,2026-09-30 01:59:12,NDM_000351,I received an OTP that I did not request.,High,ATO,Unauthorised Transaction
TICKET_001582,2026-09-15 21:43:26,NDM_000352,I changed my phone and need help accessing my account.,Low,LEGITIMATE,
TICKET_001671,2026-09-06 19:12:56,NDM_000353,I cannot access my account and my password no longer works.,Low,LEGITIMATE,
TICKET_000914,2026-09-16 20:21:46,NDM_000353,Please help me update my registered mobile number.,Low,LEGITIMATE,
ATO_TICKET_NDM_000356,2026-09-18 21:38:34,NDM_000356,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
TICKET_000955,2026-09-29 22:55:40,NDM_000356,I cannot access my account and my password no longer works.,Low,LEGITIMATE,
ATO_TICKET_NDM_000357,2026-09-30 16:46:22,NDM_000357,My SIM card was replaced and I cannot log in.,High,ATO,Unauthorised Transaction
