ticket_id,account_id_hashed,timestamp,text,category
TCK000054,H56895,2026-06-16 14:54:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000055,H70437,2026-06-30 19:33:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000056,H97695,2026-07-14 13:04:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000057,H04242,2026-06-18 22:47:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000058,H55098,2026-06-11 15:28:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000059,H17666,2026-06-22 05:09:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000060,H52736,2026-07-21 09:28:00,I received an OTP I never requested and then my balance dropped.,account_takeover
TCK000061,H39012,2026-06-26 15:45:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000062,H37528,2026-07-12 20:33:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000063,H00246,2026-06-15 09:12:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000064,H34223,2026-07-12 09:36:00,My SIM card stopped working and now money is missing from my wallet.,account_takeover
TCK000065,H21942,2026-07-08 14:47:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000066,H67717,2026-07-29 08:10:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000067,H10832,2026-06-25 05:52:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000068,H71840,2026-06-27 21:35:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000069,H16111,2026-06-20 18:37:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000070,H61316,2026-06-04 11:25:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000071,H20073,2026-06-30 09:01:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000072,H77556,2026-07-07 15:08:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000073,H07796,2026-06-06 16:50:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000074,H67070,2026-07-06 11:52:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000075,H33922,2026-06-13 09:50:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000076,H62602,2026-06-23 23:47:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000077,H63020,2026-07-08 20:52:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000078,H82313,2026-07-28 16:34:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000079,H18825,2026-07-29 08:19:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000080,H01156,2026-07-15 10:09:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000081,H38200,2026-06-21 01:37:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000082,H86291,2026-07-06 01:53:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000083,H54332,2026-06-03 08:46:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000084,H52949,2026-07-18 11:45:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000085,H54103,2026-07-13 14:37:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover
TCK000086,H18825,2026-06-24 23:53:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000087,H78083,2026-06-19 09:30:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000088,H80894,2026-06-05 22:21:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000089,H29064,2026-07-30 22:27:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000090,H56927,2026-07-02 21:49:00,Someone changed my PIN and I can no longer log in to my account.,account_takeover
TCK000091,H77274,2026-07-21 08:35:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000092,H20099,2026-07-23 00:49:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000093,H16128,2026-07-22 18:19:00,My SIM card stopped working and now money is missing from my wallet.,account_takeover
TCK000094,H44992,2026-06-12 18:29:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000095,H50760,2026-06-02 03:40:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000096,H45587,2026-07-15 04:21:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000097,H74812,2026-06-18 21:51:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000098,H96586,2026-07-18 20:24:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000099,H39012,2026-06-21 09:03:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000100,H23087,2026-06-01 10:10:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000101,H41011,2026-07-01 13:49:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000102,H35641,2026-06-29 00:07:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000103,H80894,2026-07-06 22:25:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000104,H26381,2026-07-19 11:44:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000105,H52842,2026-06-17 06:16:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000106,H79685,2026-06-13 07:25:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000107,H26556,2026-06-09 22:47:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000108,H22995,2026-06-01 18:58:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000109,H69328,2026-06-23 10:49:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000110,H83842,2026-07-22 18:09:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000111,H28915,2026-07-28 23:17:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000112,H77274,2026-07-09 05:51:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000113,H38437,2026-06-24 01:01:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000114,H19768,2026-07-26 19:46:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000115,H44960,2026-06-13 13:33:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000116,H50308,2026-06-11 15:45:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000117,H94335,2026-06-13 14:15:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000118,H20916,2026-07-06 07:56:00,I received an OTP I never requested and then my balance dropped.,account_takeover
TCK000119,H87517,2026-06-18 19:41:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000120,H82921,2026-07-23 14:43:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000121,H48438,2026-07-24 12:34:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000122,H26465,2026-06-08 15:50:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000123,H82165,2026-07-18 16:42:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000124,H15236,2026-07-10 07:23:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000125,H25844,2026-07-17 10:41:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000126,H20696,2026-07-10 10:50:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000127,H74782,2026-07-01 02:00:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover
TCK000128,H77024,2026-06-23 12:57:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000129,H03468,2026-07-23 01:06:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000130,H66342,2026-07-04 02:30:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover
TCK000131,H65188,2026-06-29 13:55:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000132,H64342,2026-07-06 10:13:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000133,H55312,2026-07-18 10:29:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000134,H84284,2026-06-30 23:11:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000135,H97027,2026-06-06 00:54:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000136,H05172,2026-07-25 23:15:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000137,H20073,2026-06-23 07:20:00,Someone changed my PIN and I can no longer log in to my account.,account_takeover
TCK000138,H14396,2026-06-12 07:02:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000139,H25120,2026-06-29 09:27:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000140,H53005,2026-07-24 21:15:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000141,H31744,2026-07-09 17:44:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000142,H44095,2026-07-12 04:43:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000143,H75928,2026-06-15 18:29:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000144,H76049,2026-06-05 15:06:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000145,H99887,2026-07-16 20:39:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000146,H22672,2026-06-09 20:19:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000147,H72014,2026-06-02 20:30:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000148,H28005,2026-06-08 00:13:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000149,H79719,2026-06-15 13:12:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000150,H98013,2026-06-24 12:23:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000151,H42882,2026-06-10 05:22:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000152,H68304,2026-06-28 03:34:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000153,H62986,2026-06-02 11:24:00,My SIM card stopped working and now money is missing from my wallet.,account_takeover
TCK000154,H13188,2026-07-06 05:18:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000155,H09092,2026-06-13 05:59:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000156,H51191,2026-07-17 01:42:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000157,H25893,2026-07-07 13:32:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000158,H00023,2026-07-24 03:53:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000159,H27368,2026-07-23 20:45:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000160,H61823,2026-07-18 02:54:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000161,H08356,2026-06-28 12:15:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000162,H11763,2026-06-28 04:14:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000163,H42658,2026-06-30 13:48:00,My SIM card stopped working and now money is missing from my wallet.,account_takeover
TCK000164,H58932,2026-06-29 05:24:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000165,H99559,2026-06-11 07:25:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000166,H73422,2026-06-29 15:28:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000167,H65094,2026-07-02 15:34:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000168,H91714,2026-07-09 18:16:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000169,H37244,2026-06-17 03:54:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000170,H86792,2026-07-11 00:36:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000171,H17872,2026-06-07 00:07:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000172,H91429,2026-07-21 05:42:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000173,H24467,2026-06-07 00:22:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000174,H25920,2026-07-07 16:28:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000175,H78933,2026-07-15 05:42:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000176,H67941,2026-07-12 03:15:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000177,H10391,2026-06-12 06:57:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000178,H37134,2026-07-13 16:52:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000179,H06218,2026-06-16 04:03:00,Someone changed my PIN and I can no longer log in to my account.,account_takeover
TCK000180,H76528,2026-06-21 07:39:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000181,H42658,2026-06-07 23:25:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000182,H30424,2026-06-01 11:40:00,My SIM card stopped working and now money is missing from my wallet.,account_takeover
TCK000183,H08206,2026-07-12 18:47:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000184,H16166,2026-07-15 05:55:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000185,H48891,2026-07-24 08:26:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000186,H89433,2026-07-20 12:12:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000187,H21942,2026-07-05 14:10:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000188,H90564,2026-07-15 21:09:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000189,H65188,2026-06-13 23:03:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000190,H74365,2026-06-29 11:59:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000191,H45587,2026-07-30 02:57:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000192,H31747,2026-07-22 10:07:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000193,H70843,2026-07-20 04:26:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000194,H47176,2026-07-24 12:41:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000195,H12233,2026-07-25 20:00:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000196,H35641,2026-07-23 17:33:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000197,H23963,2026-06-07 11:06:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000198,H53196,2026-06-01 08:06:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000199,H40459,2026-07-20 14:00:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000200,H71005,2026-06-29 15:59:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000201,H16563,2026-06-02 17:17:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000202,H85963,2026-07-23 15:12:00,I received an OTP I never requested and then my balance dropped.,account_takeover
TCK000203,H20596,2026-06-18 04:15:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000204,H22995,2026-06-11 08:26:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000205,H10816,2026-06-18 15:01:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000206,H76294,2026-06-04 06:53:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000207,H17100,2026-07-14 22:25:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000208,H24610,2026-07-15 06:32:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000209,H82313,2026-06-27 23:21:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000210,H29771,2026-06-25 05:43:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000211,H07888,2026-06-24 00:47:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000212,H80537,2026-07-17 21:46:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000213,H08681,2026-07-30 01:57:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000214,H44090,2026-07-21 10:59:00,Someone changed my PIN and I can no longer log in to my account.,account_takeover
TCK000215,H62602,2026-06-03 07:34:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000216,H19228,2026-06-15 07:58:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000217,H10832,2026-06-04 07:52:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000218,H40740,2026-06-17 00:50:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000219,H05663,2026-06-27 21:39:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000220,H61077,2026-06-17 10:00:00,Someone changed my PIN and I can no longer log in to my account.,account_takeover
TCK000221,H81465,2026-06-09 16:38:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000222,H44993,2026-06-03 13:22:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000223,H51606,2026-07-15 05:21:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover
TCK000224,H72014,2026-06-19 19:24:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000225,H10271,2026-06-19 08:16:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000226,H94939,2026-06-11 08:49:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000227,H06933,2026-07-05 10:14:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000228,H70394,2026-06-29 15:45:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000229,H16405,2026-06-04 21:35:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000230,H01156,2026-07-30 01:17:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000231,H61823,2026-06-27 10:30:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000232,H01797,2026-06-03 08:58:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000233,H21552,2026-06-19 21:14:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000234,H37012,2026-07-05 21:10:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000235,H05531,2026-06-26 03:34:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000236,H04149,2026-06-27 03:53:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000237,H39832,2026-07-05 14:59:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000238,H22130,2026-06-09 21:41:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000239,H19228,2026-06-05 09:39:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000240,H16857,2026-07-27 19:07:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000241,H17239,2026-06-13 09:25:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000242,H26355,2026-07-14 12:43:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000243,H46604,2026-06-25 06:53:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000244,H01758,2026-06-14 10:09:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000245,H41011,2026-06-09 16:34:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover
TCK000246,H16927,2026-06-24 12:14:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000247,H25120,2026-07-14 05:14:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000248,H34228,2026-06-07 03:01:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000249,H43113,2026-06-19 01:40:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000250,H13872,2026-07-27 19:58:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000251,H15236,2026-06-03 23:03:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000252,H08891,2026-06-25 05:12:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000253,H37508,2026-06-11 15:40:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000254,H86792,2026-06-06 13:38:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000255,H38200,2026-07-23 08:12:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000256,H35416,2026-06-11 09:05:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover
TCK000257,H64342,2026-07-28 22:48:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000258,H30786,2026-07-22 22:38:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000259,H73592,2026-07-24 17:48:00,My SIM card stopped working and now money is missing from my wallet.,account_takeover
TCK000260,H09900,2026-06-27 22:46:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000261,H22005,2026-06-20 17:26:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000262,H58455,2026-07-05 08:04:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000263,H37528,2026-07-15 21:13:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000264,H57459,2026-07-30 12:26:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000265,H76635,2026-06-24 21:54:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000266,H37137,2026-06-12 07:02:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000267,H36244,2026-07-11 21:39:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000268,H24610,2026-06-17 20:15:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000269,H95498,2026-07-24 11:03:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000270,H93991,2026-06-12 06:17:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000271,H44000,2026-06-23 02:39:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000272,H68066,2026-06-16 23:05:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000273,H99887,2026-06-02 16:08:00,I received an OTP I never requested and then my balance dropped.,account_takeover
TCK000274,H93870,2026-07-06 05:58:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000275,H24767,2026-06-15 05:09:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000276,H92161,2026-07-24 06:43:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000277,H04433,2026-07-22 11:19:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000278,H97835,2026-06-06 20:25:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000279,H55305,2026-07-09 21:49:00,How long does a merchant payment normally take to reflect?,general_inquiry
